                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.59661,                0.37087,                0.93469,                0.97835,                0.98969,                0.98777,                0.72443,                 1.0781,                0.42762,                 1.1777,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.6067,                0.37948,                0.94634,                0.97957,                0.98882,                0.98691,                0.72113,                 1.0934,                0.43113,                 1.1954,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.6132,                0.37814,                0.94993,                0.98958,                 0.9789,                0.98512,                0.71827,                  1.097,                0.40632,                 1.1967,              0.0002576,              0.0002576,              0.0002576
                     91,                0.52356,                0.31447,                0.89501,                0.96968,                0.98915,                0.98696,                0.71159,                 1.0993,                  0.427,                 1.1995,              0.0002378,              0.0002378,              0.0002378
                     92,                0.52622,                0.30037,                0.88662,                0.98822,                0.96907,                0.98414,                0.71904,                 1.1018,                0.44699,                 1.2103,               0.000218,               0.000218,               0.000218
                     93,                 0.5142,                 0.3002,                0.88701,                 0.9884,                0.97938,                0.98251,                0.71629,                 1.0925,                0.44406,                 1.2102,              0.0001982,              0.0001982,              0.0001982
                     94,                0.52731,                0.30407,                0.89714,                0.98625,                0.97938,                0.98693,                 0.7251,                 1.0917,                0.44639,                 1.2046,              0.0001784,              0.0001784,              0.0001784
                     95,                0.48975,                0.29104,                0.88159,                0.97819,                0.97938,                0.98635,                0.72585,                 1.0729,                0.43303,                 1.1862,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.4846,                0.28879,                0.87846,                0.98436,                0.97938,                0.98694,                0.73411,                 1.0951,                0.44329,                 1.2047,              0.0001388,              0.0001388,              0.0001388
                     97,                0.48221,                0.29014,                0.87749,                0.98544,                0.97938,                0.98703,                0.73134,                 1.0723,                0.42199,                 1.1955,               0.000119,               0.000119,               0.000119
                     98,                0.47539,                0.28673,                0.86859,                0.97943,                0.97938,                0.98635,                0.72482,                 1.0826,                0.42839,                 1.2027,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.47237,                0.27708,                0.86804,                0.97851,                0.97938,                0.98555,                0.72361,                 1.0796,                 0.4389,                 1.2009,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.46046,                0.27789,                 0.8696,                0.97858,                0.97938,                0.98629,                0.72913,                 1.0816,                0.43007,                  1.201,               5.96e-05,               5.96e-05,               5.96e-05
